Threads | Chunk Size | Parallel Time (s) | Speedup | Efficiency | Scheduling Type
--------------------------------------------------------------------------------
      1 |          8 |          8.431750 |    0.97 |       0.97 | Static
      1 |         16 |          8.431290 |    0.97 |       0.97 | Static
      1 |         32 |          8.435820 |    0.97 |       0.97 | Static
      1 |         64 |          8.444390 |    0.97 |       0.97 | Static
      1 |        128 |          8.440300 |    0.97 |       0.97 | Static
      1 |        256 |          8.439060 |    0.97 |       0.97 | Static
      1 |        512 |          8.436860 |    0.97 |       0.97 | Static
      1 |       1024 |          8.437660 |    0.97 |       0.97 | Static
      1 |       2048 |          8.441790 |    0.97 |       0.97 | Static
      2 |          8 |          4.552710 |    1.80 |       0.90 | Static
      2 |         16 |          4.403400 |    1.86 |       0.93 | Static
      2 |         32 |          4.432850 |    1.85 |       0.93 | Static
      2 |         64 |          4.360510 |    1.88 |       0.94 | Static
      2 |        128 |          4.339080 |    1.89 |       0.94 | Static
      2 |        256 |          4.272900 |    1.92 |       0.96 | Static
      2 |        512 |          4.282140 |    1.92 |       0.96 | Static
      2 |       1024 |          4.240180 |    1.94 |       0.97 | Static
      2 |       2048 |          4.236690 |    1.94 |       0.97 | Static
      4 |          8 |          2.464230 |    3.33 |       0.83 | Static
      4 |         16 |          2.373440 |    3.46 |       0.86 | Static
      4 |         32 |          2.371220 |    3.46 |       0.86 | Static
      4 |         64 |          2.325820 |    3.53 |       0.88 | Static
      4 |        128 |          2.348340 |    3.50 |       0.88 | Static
      4 |        256 |          2.312250 |    3.55 |       0.89 | Static
      4 |        512 |          2.294420 |    3.58 |       0.90 | Static
      4 |       1024 |          2.287160 |    3.59 |       0.90 | Static
      4 |       2048 |          2.288040 |    3.59 |       0.90 | Static
      8 |          8 |          1.350780 |    6.08 |       0.76 | Static
      8 |         16 |          1.273470 |    6.45 |       0.81 | Static
      8 |         32 |          1.276560 |    6.43 |       0.80 | Static
      8 |         64 |          1.222340 |    6.72 |       0.84 | Static
      8 |        128 |          1.186830 |    6.92 |       0.86 | Static
      8 |        256 |          1.168480 |    7.03 |       0.88 | Static
      8 |        512 |          1.161220 |    7.07 |       0.88 | Static
      8 |       1024 |          1.154680 |    7.11 |       0.89 | Static
      8 |       2048 |          1.150470 |    7.14 |       0.89 | Static
     16 |          8 |          0.715602 |   11.47 |       0.72 | Static
     16 |         16 |          0.666741 |   12.32 |       0.77 | Static
     16 |         32 |          0.654874 |   12.54 |       0.78 | Static
     16 |         64 |          0.621792 |   13.21 |       0.83 | Static
     16 |        128 |          0.603680 |   13.60 |       0.85 | Static
     16 |        256 |          0.590071 |   13.92 |       0.87 | Static
     16 |        512 |          0.583158 |   14.08 |       0.88 | Static
     16 |       1024 |          0.580245 |   14.15 |       0.88 | Static
     16 |       2048 |          0.578915 |   14.18 |       0.89 | Static
     32 |          8 |          0.495134 |   16.58 |       0.52 | Static
     32 |         16 |          0.459813 |   17.86 |       0.56 | Static
     32 |         32 |          0.443719 |   18.51 |       0.58 | Static
     32 |         64 |          0.422305 |   19.44 |       0.61 | Static
     32 |        128 |          0.406629 |   20.19 |       0.63 | Static
     32 |        256 |          0.396888 |   20.69 |       0.65 | Static
     32 |        512 |          0.391488 |   20.98 |       0.66 | Static
     32 |       1024 |          0.389488 |   21.08 |       0.66 | Static
     32 |       2048 |          0.389148 |   21.10 |       0.66 | Static
      1 |          8 |         10.722000 |    0.77 |       0.77 | Dynamic
      1 |         16 |          9.500980 |    0.86 |       0.86 | Dynamic
      1 |         32 |          8.946780 |    0.92 |       0.92 | Dynamic
      1 |         64 |          8.647030 |    0.95 |       0.95 | Dynamic
      1 |        128 |          8.511940 |    0.96 |       0.96 | Dynamic
      1 |        256 |          8.436620 |    0.97 |       0.97 | Dynamic
      1 |        512 |          8.770540 |    0.94 |       0.94 | Dynamic
      1 |       1024 |          8.466350 |    0.97 |       0.97 | Dynamic
      1 |       2048 |          8.228700 |    1.00 |       1.00 | Dynamic
      2 |          8 |          6.478630 |    1.27 |       0.64 | Dynamic
      2 |         16 |          5.301320 |    1.55 |       0.78 | Dynamic
      2 |         32 |          4.738030 |    1.73 |       0.86 | Dynamic
      2 |         64 |          4.481220 |    1.83 |       0.92 | Dynamic
      2 |        128 |          4.337550 |    1.89 |       0.94 | Dynamic
      2 |        256 |          4.257120 |    1.93 |       0.96 | Dynamic
      2 |        512 |          4.250670 |    1.93 |       0.96 | Dynamic
      2 |       1024 |          4.205470 |    1.95 |       0.97 | Dynamic
      2 |       2048 |          4.159450 |    1.97 |       0.98 | Dynamic
      4 |          8 |          4.032630 |    2.04 |       0.51 | Dynamic
      4 |         16 |          2.928970 |    2.80 |       0.70 | Dynamic
      4 |         32 |          2.528710 |    3.25 |       0.81 | Dynamic
      4 |         64 |          2.363550 |    3.47 |       0.87 | Dynamic
      4 |        128 |          2.246600 |    3.66 |       0.92 | Dynamic
      4 |        256 |          2.231160 |    3.68 |       0.92 | Dynamic
      4 |        512 |          2.181400 |    3.76 |       0.94 | Dynamic
      4 |       1024 |          2.215220 |    3.71 |       0.93 | Dynamic
      4 |       2048 |          2.194480 |    3.74 |       0.94 | Dynamic
      8 |          8 |          5.207240 |    1.58 |       0.20 | Dynamic
      8 |         16 |          1.846190 |    4.45 |       0.56 | Dynamic
      8 |         32 |          1.337430 |    6.14 |       0.77 | Dynamic
      8 |         64 |          1.209470 |    6.79 |       0.85 | Dynamic
      8 |        128 |          1.150730 |    7.14 |       0.89 | Dynamic
      8 |        256 |          1.123890 |    7.31 |       0.91 | Dynamic
      8 |        512 |          1.108200 |    7.41 |       0.93 | Dynamic
      8 |       1024 |          1.099420 |    7.47 |       0.93 | Dynamic
      8 |       2048 |          1.094760 |    7.50 |       0.94 | Dynamic
     16 |          8 |          4.898770 |    1.68 |       0.10 | Dynamic
     16 |         16 |          2.711230 |    3.03 |       0.19 | Dynamic
     16 |         32 |          0.907457 |    9.05 |       0.57 | Dynamic
     16 |         64 |          0.748039 |   10.98 |       0.69 | Dynamic
     16 |        128 |          0.588838 |   13.95 |       0.87 | Dynamic
     16 |        256 |          0.573849 |   14.31 |       0.89 | Dynamic
     16 |        512 |          0.567258 |   14.48 |       0.91 | Dynamic
     16 |       1024 |          0.554255 |   14.82 |       0.93 | Dynamic
     16 |       2048 |          0.557347 |   14.73 |       0.92 | Dynamic
     32 |          8 |          5.563630 |    1.48 |       0.05 | Dynamic
     32 |         16 |          2.921420 |    2.81 |       0.09 | Dynamic
     32 |         32 |          1.350440 |    6.08 |       0.19 | Dynamic
     32 |         64 |          0.766447 |   10.71 |       0.33 | Dynamic
     32 |        128 |          0.409390 |   20.06 |       0.63 | Dynamic
     32 |        256 |          0.374175 |   21.95 |       0.69 | Dynamic
     32 |        512 |          0.369068 |   22.25 |       0.70 | Dynamic
     32 |       1024 |          0.365765 |   22.45 |       0.70 | Dynamic
     32 |       2048 |          0.364050 |   22.56 |       0.70 | Dynamic
